,Date,Count
296,22/07/13 08:00:00,3413
297,22/07/13 09:00:00,3326
298,22/07/13 10:00:00,2485
299,22/07/13 11:00:00,2970
300,22/07/13 12:00:00,2621
301,22/07/13 13:00:00,2979
302,22/07/13 14:00:00,2762
303,22/07/13 15:00:00,1877
304,22/07/13 16:00:00,1293
305,22/07/13 17:00:00,1042
306,22/07/13 18:00:00,386
307,22/07/13 19:00:00,159
308,22/07/13 20:00:00,389
309,22/07/13 21:00:00,403
310,22/07/13 22:00:00,269
311,22/07/13 23:00:00,146
312,22/07/14 00:00:00,242
313,22/07/14 01:00:00,375
314,22/07/14 02:00:00,329
315,22/07/14 03:00:00,230
316,22/07/14 04:00:00,83
317,22/07/14 05:00:00,396
318,22/07/14 06:00:00,1135
319,22/07/14 07:00:00,2314
320,22/07/14 08:00:00,4780
321,22/07/14 09:00:00,4735
322,22/07/14 10:00:00,2831
323,22/07/14 11:00:00,3891
324,22/07/14 12:00:00,3121
325,22/07/14 13:00:00,3100
326,22/07/14 14:00:00,2706
327,22/07/14 15:00:00,1932
328,22/07/14 16:00:00,1263
329,22/07/14 17:00:00,944
330,22/07/14 18:00:00,360
331,22/07/14 19:00:00,139
332,22/07/14 20:00:00,272
333,22/07/14 21:00:00,347
334,22/07/14 22:00:00,286
335,22/07/14 23:00:00,230
336,22/07/15 00:00:00,274
337,22/07/15 01:00:00,470
338,22/07/15 02:00:00,271
339,22/07/15 03:00:00,278
340,22/07/15 04:00:00,47
341,22/07/15 05:00:00,364
342,22/07/15 06:00:00,1009
343,22/07/15 07:00:00,2285
344,22/07/15 08:00:00,4523
345,22/07/15 09:00:00,4598
346,22/07/15 10:00:00,2812
347,22/07/15 11:00:00,3793
348,22/07/15 12:00:00,3258
349,22/07/15 13:00:00,2627
350,22/07/15 14:00:00,2381
351,22/07/15 15:00:00,1770
352,22/07/15 16:00:00,1157
353,22/07/15 17:00:00,961
354,22/07/15 18:00:00,356
355,22/07/15 19:00:00,25
356,22/07/15 20:00:00,297
357,22/07/15 21:00:00,473
358,22/07/15 22:00:00,321
359,22/07/15 23:00:00,202
360,22/07/16 00:00:00,174
361,22/07/16 01:00:00,214
362,22/07/16 02:00:00,144
363,22/07/16 03:00:00,175
364,22/07/16 04:00:00,92
365,22/07/16 05:00:00,322
366,22/07/16 06:00:00,1213
367,22/07/16 07:00:00,2168
368,22/07/16 08:00:00,2866
369,22/07/16 09:00:00,1845
370,22/07/16 10:00:00,1386
371,22/07/16 11:00:00,1313
372,22/07/16 12:00:00,1587
373,22/07/16 13:00:00,1464
374,22/07/16 14:00:00,982
375,22/07/16 15:00:00,631
376,22/07/16 16:00:00,561
377,22/07/16 17:00:00,461
378,22/07/16 18:00:00,136
379,22/07/16 19:00:00,18
380,22/07/16 20:00:00,51
381,22/07/16 21:00:00,62
382,22/07/16 22:00:00,33
383,22/07/16 23:00:00,34
384,22/07/17 00:00:00,31
385,22/07/17 01:00:00,19
386,22/07/17 02:00:00,20
387,22/07/17 03:00:00,11
388,22/07/17 04:00:00,4
389,22/07/17 05:00:00,12
390,22/07/17 06:00:00,251
391,22/07/17 07:00:00,671
392,22/07/17 08:00:00,482
393,22/07/17 09:00:00,541
394,22/07/17 10:00:00,819
395,22/07/17 11:00:00,681
396,22/07/17 12:00:00,678
397,22/07/17 13:00:00,455
398,22/07/17 14:00:00,435
399,22/07/17 15:00:00,239
400,22/07/17 16:00:00,127
401,22/07/17 17:00:00,64
402,22/07/17 18:00:00,45
403,22/07/17 19:00:00,16
404,22/07/17 20:00:00,9
405,22/07/17 21:00:00,5
406,22/07/17 22:00:00,15
407,22/07/17 23:00:00,4
408,22/07/18 00:00:00,41
409,22/07/18 01:00:00,194
410,22/07/18 02:00:00,164
411,22/07/18 03:00:00,154
412,22/07/18 04:00:00,61
413,22/07/18 05:00:00,368
414,22/07/18 06:00:00,972
415,22/07/18 07:00:00,1693
416,22/07/18 08:00:00,4303
417,22/07/18 09:00:00,4618
418,22/07/18 10:00:00,2635
419,22/07/18 11:00:00,3694
420,22/07/18 12:00:00,2517
421,22/07/18 13:00:00,2313
422,22/07/18 14:00:00,2202
423,22/07/18 15:00:00,1120
424,22/07/18 16:00:00,1083
425,22/07/18 17:00:00,771
426,22/07/18 18:00:00,369
427,22/07/18 19:00:00,63
428,22/07/18 20:00:00,62
429,22/07/18 21:00:00,27
430,22/07/18 22:00:00,8
431,22/07/18 23:00:00,10
432,22/07/19 00:00:00,136
433,22/07/19 01:00:00,275
434,22/07/19 02:00:00,197
435,22/07/19 03:00:00,209
436,22/07/19 04:00:00,32
437,22/07/19 05:00:00,423
438,22/07/19 06:00:00,918
439,22/07/19 07:00:00,2088
440,22/07/19 08:00:00,4681
441,22/07/19 09:00:00,4847
442,22/07/19 10:00:00,2819
443,22/07/19 11:00:00,4173
444,22/07/19 12:00:00,3445
445,22/07/19 13:00:00,3206
446,22/07/19 14:00:00,2675
447,22/07/19 15:00:00,1991
448,22/07/19 16:00:00,1406
449,22/07/19 17:00:00,1060
450,22/07/19 18:00:00,450
451,22/07/19 19:00:00,138
452,22/07/19 20:00:00,648
453,22/07/19 21:00:00,471
454,22/07/19 22:00:00,275
455,22/07/19 23:00:00,157
456,22/07/20 00:00:00,250
457,22/07/20 01:00:00,320
458,22/07/20 02:00:00,244
459,22/07/20 03:00:00,186
460,22/07/20 04:00:00,18
461,22/07/20 05:00:00,263
462,22/07/20 06:00:00,898
463,22/07/20 07:00:00,2250
464,22/07/20 08:00:00,3238
465,22/07/20 09:00:00,2855
466,22/07/20 10:00:00,2050
467,22/07/20 11:00:00,2709
468,22/07/20 12:00:00,2483
469,22/07/20 13:00:00,2804
470,22/07/20 14:00:00,2586
471,22/07/20 15:00:00,1762
472,22/07/20 16:00:00,1185
473,22/07/20 17:00:00,993
474,22/07/20 18:00:00,403
475,22/07/20 19:00:00,105
476,22/07/20 20:00:00,448
477,22/07/20 21:00:00,360
478,22/07/20 22:00:00,260
479,22/07/20 23:00:00,166
480,22/07/21 00:00:00,266
481,22/07/21 01:00:00,374
482,22/07/21 02:00:00,257
483,22/07/21 03:00:00,208
484,22/07/21 04:00:00,51
485,22/07/21 05:00:00,301
486,22/07/21 06:00:00,871
487,22/07/21 07:00:00,1729
488,22/07/21 08:00:00,3681
489,22/07/21 09:00:00,3855
490,22/07/21 10:00:00,2340
491,22/07/21 11:00:00,3349
492,22/07/21 12:00:00,2717
493,22/07/21 13:00:00,1957
494,22/07/21 14:00:00,2244
495,22/07/21 15:00:00,2087
496,22/07/21 16:00:00,1239
497,22/07/21 17:00:00,1016
498,22/07/21 18:00:00,412
499,22/07/21 19:00:00,69
500,22/07/21 20:00:00,504
501,22/07/21 21:00:00,378
502,22/07/21 22:00:00,239
503,22/07/21 23:00:00,142
504,22/07/22 00:00:00,249
505,22/07/22 01:00:00,319
506,22/07/22 02:00:00,353
507,22/07/22 03:00:00,268
508,22/07/22 04:00:00,37
509,22/07/22 05:00:00,340
510,22/07/22 06:00:00,1000
511,22/07/22 07:00:00,2147
512,22/07/22 08:00:00,4367
513,22/07/22 09:00:00,4156
514,22/07/22 10:00:00,2470
515,22/07/22 11:00:00,3651
516,22/07/22 12:00:00,2865
517,22/07/22 13:00:00,2213
518,22/07/22 14:00:00,2234
519,22/07/22 15:00:00,1786
520,22/07/22 16:00:00,1244
521,22/07/22 17:00:00,1067
522,22/07/22 18:00:00,385
523,22/07/22 19:00:00,21
524,22/07/22 20:00:00,419
525,22/07/22 21:00:00,368
